match number,team number,How many did they score in the amp during the autonomous period?,How many did they score in the speaker during the autonomous period?,How many missed during the autonomous period?,Did they access the middle of the field during the autonomous period?,Did they exit their starting area during the autonomous period?,How many notes did the robot score in the amp during the teleoperated period?,How many notes did the robot score in speaker during the teleoperated period?,How many missed during the teleoperated period?,How long was their average cycle (seconds)?,How much time did they spend on defense?,How much time did they spend dead/broken?,Where was the robot at the end of the match?,Did they trap?,What type of robot are they?,Where did they mostly shoot from?,additional comments
22,135079,0,1,0,No,Yes,2,3,0,23,0,0,Successful climb,No,Offense (both places),Right next to speaker,
27,135079,0,0,0,No,Yes,3,2,3,17,0,0,Failed climb,No,Offense (both places),Open field (next to stage),Often missed speaker
32,135079,0,1,0,No,No,4,1,0,13,0,0,Successful climb,No,Offense (both places),Right next to speaker,
37,135079,0,1,0,No,Yes,0,6,2,16,0,0,Successful climb,No,Speaker,Right next to speaker,
46,135079,0,1,0,No,No,3,1,0,17,0,0,Somewhere else,No,Offense (both places),Right next to speaker,
53,135079,0,1,0,No,Yes,4,0,1,20,0,0,Failed climb,No,Offense (both places),Amp,
60,135079,0,0,1,No,Yes,1,4,0,24,0,0,Parked,No,Offense (both places),Right next to speaker,
60,135079,0,0,1,No,Yes,1,5,0,27,0,8,Failed climb,No,Offense (both places),Right next to speaker,
66,135079,0,1,0,No,No,0,5,2,21,0,0,Successful climb,No,Speaker,Right next to speaker,
6,140203,0,0,1,No,Yes,0,6,2,25,0,0,Parked,No,Speaker,Right next to speaker,
6,140203,0,1,0,No,No,0,6,0,15,0,0,Parked,No,Speaker,Right next to speaker,
14,140203,0,1,0,No,Yes,4,2,1,9,0,0,Somewhere else,No,Amp,Right next to speaker,
21,140203,0,0,0,No,Yes,1,0,0,21,70,0,Parked,No,Amp,Can't shoot,"Couldn't intake for some reason, or even if it could, it couldn't put it in amp"
29,140203,0,1,1,No,Yes,3,0,1,25,0,0,Somewhere else,No,Offense (both places),Right next to speaker,
34,140203,0,1,0,No,No,1,0,0,50,60,0,Parked,No,Amp,Amp,defended for part of it but were really slow and idk what they did for like half of it
41,140203,0,3,0,No,Yes,0,2,0,30,0,0,Somewhere else,No,Speaker,Right next to speaker,Meh intake
46,140203,0,0,0,No,Yes,0,0,0,0,111,0,Somewhere else,No,Defense,Can't shoot,
55,140203,0,0,0,No,No,0,0,0,0,0,49,Somewhere else,No,,Can't shoot,"died, then came back but didnt do anything just spun around in a circle idk"
60,140203,0,2,0,No,Yes,0,5,0,15,0,0,Parked,No,Speaker,Open field (next to stage),
1,143395,0,0,0,No,No,0,0,0,0,0,0,Somewhere else,No,Speaker,Can't shoot,Code/controller broke - could not rotate swerve
10,143395,0,0,0,No,No,3,0,3,28,0,0,Parked,No,Amp,Can't shoot,
17,143395,0,0,0,No,No,2,0,2,30,0,0,Parked,No,Amp,Can't shoot,Bum robot
25,143395,0,0,0,No,Yes,3,0,0,30,40,0,Somewhere else,No,Amp,Can't shoot,Slowbro
31,143395,0,0,0,No,No,2,0,3,20,0,0,Parked,No,Offense (both places),Right next to speaker,
38,143395,0,1,0,No,Yes,1,0,0,0,68,102,Parked,No,Amp,Amp,Stuck at amp for a good while
44,143395,0,0,0,No,Yes,1,0,0,0,106,0,Parked,No,Defense,Can't shoot,Note stuck in robot
51,143395,0,0,0,No,Yes,2,0,0,0,40,0,,No,Amp,Amp,"game piece stuck for a while, then robot died"
59,143395,0,0,0,No,Yes,0,0,1,25,90,0,Parked,No,Amp,Can't shoot,
66,143395,0,0,0,No,No,1,0,0,20,70,30,Parked,No,Amp,Can't shoot,
5,143563,0,0,0,No,No,0,0,0,0,135,135,Parked,No,Defense,Right next to speaker,
25,143563,0,0,0,No,No,0,0,0,0,0,0,,,,,didnt show up
37,143563,0,1,0,No,No,0,0,2,30,0,0,Somewhere else,No,Speaker,Right next to speaker,Bruh wtf is this robot doing the driver is clueless
50,143563,0,0,0,No,No,0,0,0,0,0,0,Parked,No,Equal amounts offensive and defensive,Can't shoot,"Trouble with shooter I think, didn't shoot once"
55,143563,0,0,0,No,No,0,0,0,60,25,0,Parked,No,Speaker,Right next to speaker,Bro lookin a bit acoustic
61,143563,0,0,0,No,No,0,2,0,0,0,124,Parked,No,Speaker,Right next to speaker,
1,146503,0,1,0,No,Yes,2,0,1,30,60,0,Parked,No,Equal amounts offensive and defensive,Right next to speaker,
8,146503,0,1,0,No,No,2,3,1,23,0,0,Parked,No,Offense (both places),Open field (next to stage),
17,146503,0,2,0,Yes,Yes,0,6,1,24,0,0,Successful climb,No,Speaker,Open field (next to stage),mediocre driver
23,146503,0,1,0,Yes,Yes,0,0,0,30,91,0,Successful climb,No,Speaker,Right next to speaker,"Idk what they were doing, their intake is prob bad"
30,146503,0,0,0,No,No,1,0,2,20,0,0,Successful climb,No,Offense (both places),Amp,
37,146503,0,0,0,No,Yes,6,2,1,18,0,0,Successful climb,No,Offense (both places),Open field (next to stage),Made one from half court
44,146503,0,1,0,No,Yes,6,4,1,19,0,0,Parked,No,Offense (both places),Open field (next to stage),
52,146503,0,1,0,Yes,Yes,3,0,0,15,50,0,Parked,No,Amp,Can't shoot,
60,146503,0,1,0,Yes,Yes,1,1,1,23,0,0,Successful climb,No,Offense (both places),Open field (next to stage),note got stuck again
69,146503,0,2,0,Yes,Yes,0,3,1,17,71,0,Successful climb,No,Equal amounts offensive and defensive,Open field (next to stage),Note got stuck on robot
2,150031,0,0,1,No,Yes,1,2,6,18,6,0,Parked,No,Offense (both places),Right next to speaker,
10,150031,0,1,0,No,No,0,6,1,15,0,0,Failed climb,No,Speaker,Open field (next to stage),
17,150031,0,2,0,No,No,0,0,0,0,135,0,Somewhere else,No,Defense,Right next to speaker,they defended the whole match but were a little wobbly
48,150031,0,0,0,No,No,4,1,2,15,0,0,Failed climb,Attempted to,but failed,Amp,Right next to speaker
54,150031,0,1,0,No,No,1,0,4,30,0,0,Somewhere else,No,Amp,Amp,"got bullied, then pushed onto climb of other team"
64,150031,0,1,0,No,No,0,0,0,0,135,0,Failed climb,No,Defense,Can't shoot,played bad defense the whole match near the so
71,150031,0,1,0,No,No,0,3,2,23,0,0,Parked,No,Speaker,Right next to speaker,
2,152446,0,0,0,No,No,0,0,0,0,0,65,Somewhere else,No,Speaker,Can't shoot,Shot completely the wrong way
18,152446,0,0,0,No,No,0,0,3,48,0,0,Somewhere else,No,Speaker,Right next to speaker,really bad driver. very unreliable and slow intake
33,152446,0,1,0,No,No,0,2,3,29,0,0,Somewhere else,No,Speaker,Right next to speaker,"in danger of tipping a lot, tbh i dont know what they were doing for like half the match"
38,152446,0,0,1,Yes,Yes,0,1,2,41,48,0,Parked,No,Speaker,Right next to speaker,was chasing the same note for a while
44,152446,0,0,0,Yes,Yes,0,0,0,0,85,0,Parked,No,Defense,Can't shoot,
53,152446,0,0,0,No,No,0,1,0,60,0,0,Somewhere else,No,Speaker,Right next to speaker,"spent 70% of the match next to the source trying to intake, shot twice and scored once"
53,152446,0,0,0,No,Yes,0,2,0,14,86,0,Somewhere else,No,Speaker,Right next to speaker,
64,152446,0,0,0,No,No,0,1,3,25,0,0,Parked,No,Speaker,Right next to speaker,Very tippy and slow
70,152446,0,0,0,No,Yes,0,1,0,49,0,0,Parked,No,Speaker,Right next to speaker,
5,156247,0,1,0,Yes,Yes,3,2,2,16,0,0,Successful climb,No,Offense (both places),Right next to speaker,
12,156247,0,1,2,Yes,Yes,2,5,0,23,0,0,Failed climb,No,Offense (both places),Right next to speaker,
22,156247,0,2,0,Yes,Yes,1,5,1,17,0,0,Successful climb,No,Speaker,Right next to speaker,pretty good driver. reliably scored in speaker
29,156247,0,1,1,Yes,Yes,7,8,2,10,0,0,Failed climb,No,Offense (both places),Right next to speaker,During auto would've scored one more but it's note collided with another robot's note
35,156247,0,2,0,Yes,Yes,0,8,2,12,0,0,Failed climb,No,Speaker,Right next to speaker,
40,156247,0,1,0,Yes,Yes,0,10,2,0,0,0,Somewhere else,No,Speaker,Right next to speaker,
40,156247,0,0,0,No,No,0,7,2,12,0,0,Somewhere else,No,Speaker,Right next to speaker,really fast cycles
48,156247,0,2,0,Yes,Yes,4,4,0,17,0,0,Failed climb,No,Offense (both places),Right next to speaker,
56,156247,0,2,0,Yes,Yes,0,4,0,21,0,0,Failed climb,No,Speaker,Right next to speaker,"good speaker, but failed climb, unable to buddy climb(doesnt reach higher on the chain)"
62,156247,0,0,0,Yes,Yes,5,4,2,15,0,0,Successful climb,No,Offense (both places),Amp,
69,156247,0,1,0,Yes,Yes,5,4,0,10,0,0,Successful climb,No,Offense (both places),Right next to speaker,
1,168637,0,2,0,No,Yes,0,2,3,18,0,0,Successful climb,No,Speaker,Right next to speaker,Not accurate shooting/too low power when shooting
8,168637,0,0,0,No,No,0,4,1,18,0,0,Somewhere else,No,Speaker,Right next to speaker,"Their intake is not the most reliable, the note is sticking out too far imo, idk how it didn't fall out. Once they had problems with it and had to shake out the note."
16,168637,0,1,0,No,No,0,4,0,12,0,0,Successful climb,No,Speaker,Right next to speaker,
25,168637,0,0,0,No,No,0,4,1,19,0,0,Successful climb,No,Speaker,Right next to speaker,pretty slow bot
34,168637,0,1,0,No,Yes,0,6,0,17,0,0,Successful climb,No,Speaker,Right next to speaker,2 second climb
34,168637,0,1,0,No,Yes,0,4,1,14,0,0,Successful climb,No,Offense (both places),Right next to speaker,
43,168637,0,1,0,No,No,0,2,0,53,2,0,Successful climb,No,Speaker,Right next to speaker,
48,168637,0,0,1,No,No,0,0,0,0,85,0,Successful climb,No,Defense,Can't shoot,
53,168637,0,1,1,No,Yes,0,5,1,19,0,0,Successful climb,No,Speaker,Right next to speaker,
58,168637,0,1,0,No,Yes,0,1,0,0,0,104,Successful climb,No,Speaker,Right next to speaker,
65,168637,0,1,0,No,Yes,0,4,0,20,0,0,Parked,No,Speaker,Right next to speaker,
3,168994,0,0,2,Yes,Yes,3,6,1,15,21,0,Somewhere else,No,Offense (both places),Right next to speaker,"Scored in wrong amp purposeful, wanted coopertition,?other team had no amp"
11,168994,0,0,2,Yes,Yes,4,5,0,12,0,0,Parked,No,Offense (both places),Amp,
18,168994,0,0,2,No,Yes,3,5,0,15,0,0,Parked,No,Offense (both places),Open field (next to stage),
25,168994,0,3,1,Yes,Yes,5,4,0,8,0,0,Successful climb,No,Offense (both places),Open field (next to stage),
41,168994,0,0,1,No,No,0,9,0,0,0,14,Parked,No,Speaker,Open field (next to stage),
47,168994,0,3,0,Yes,Yes,4,1,0,10,0,22,Failed climb,No,Offense (both places),Open field (next to stage),
52,168994,0,1,2,Yes,Yes,5,4,1,14,0,0,Somewhere else,No,Offense (both places),Open field (next to stage),
59,168994,0,0,2,Yes,Yes,3,7,1,16,0,0,Parked,No,Offense (both places),Right next to speaker,
71,168994,0,1,2,Yes,Yes,2,8,3,9,0,0,Somewhere else,No,Offense (both places),Right next to speaker,
1,184954,0,0,0,No,Yes,1,0,0,0,21,99,Failed climb,No,Amp,Amp,Note stuck in robot the entire match
9,184954,0,0,0,No,Yes,3,0,0,32,0,0,Failed climb,No,Amp,Can't shoot,
18,184954,0,0,1,No,Yes,0,0,0,54,0,0,Successful climb,No,Amp,Amp,"missed one amp then didnt do anything the whole game after that, couldnt intake"
28,184954,0,0,0,No,Yes,1,0,4,36,0,0,Somewhere else,No,Amp,Amp,really unstable/wobbly arm. missed most shots. slow
35,184954,0,0,0,No,No,0,0,0,0,135,0,Parked,No,Defense,Can't shoot,"THE ABSOLUTE WORST DEFENSE ROBOT EVER DO NOT PICK, literally gets bullies by other robots"
40,184954,0,0,0,No,Yes,2,0,3,39,0,0,Failed climb,No,Amp,Amp,
45,184954,0,0,0,Yes,No,3,0,3,25,2,0,Somewhere else,No,Amp,Amp,
55,184954,0,0,0,No,No,4,0,0,21,0,0,Successful climb,No,Amp,Amp,scored the first 4 pretty quick then spent the rest of the match trying to score one note
65,184954,0,0,0,No,Yes,2,0,0,39,60,0,Somewhere else,No,Amp,Amp,
71,184954,0,0,0,Yes,No,0,0,1,1,123,0,Failed climb,No,Defense,Amp,
3,185941,1,1,0,No,No,0,0,3,20,0,0,Somewhere else,No,Speaker,Right next to speaker,
12,185941,0,1,0,No,No,0,0,0,0,120,0,Successful climb,No,Defense,Can't shoot,
21,185941,0,1,0,No,Yes,0,6,1,21,0,0,Failed climb,No,Speaker,Right next to speaker,kinda slow
27,185941,0,0,1,No,Yes,2,1,1,17,0,0,Successful climb,No,Offense (both places),Right next to speaker,
33,185941,0,1,0,No,Yes,1,5,2,31,0,0,Successful climb,No,Speaker,Right next to speaker,
41,185941,0,0,0,No,Yes,5,0,1,16,0,0,Successful climb,No,Amp,Can't shoot,
49,185941,0,0,0,No,No,0,0,0,0,95,0,Failed climb,No,Defense,Can't shoot,Got stuck in red alliance's stage for like 30 seconds until they got rescued by their alliance
54,185941,0,0,1,No,Yes,0,0,0,0,0,121,Somewhere else,No,Speaker,Right next to speaker,Flopping around like a fish
59,185941,0,0,1,No,Yes,3,3,2,30,0,0,Parked,No,Offense (both places),Right next to speaker,
65,185941,0,1,2,No,Yes,0,3,6,16,0,0,Somewhere else,No,Speaker,Right next to speaker,
65,185941,0,0,1,No,Yes,0,3,6,24,0,2,Somewhere else,No,Speaker,Right next to speaker,
7,186193,0,4,0,Yes,Yes,0,4,1,9,0,0,Failed climb,No,Speaker,Right next to speaker,
14,186193,0,3,1,No,Yes,0,1,1,0,30,106,Failed climb,No,Speaker,Right next to speaker,Note stuck in robot
21,186193,0,2,0,No,Yes,0,0,1,0,0,112,Somewhere else,No,Speaker,Right next to speaker,Crashed and shut down very quickly into match
26,186193,0,2,2,No,Yes,0,3,2,21,0,0,Successful climb,No,Speaker,Right next to speaker,Can only shoot center speaker touching
31,186193,0,1,0,No,No,0,3,0,16,0,93,Somewhere else,No,Speaker,Right next to speaker,died
37,186193,0,1,2,No,Yes,0,7,1,14,0,0,Failed climb,No,Speaker,Right next to speaker,
37,186193,0,2,2,No,Yes,0,7,1,12,0,0,Successful climb,No,Speaker,Right next to speaker,
48,186193,0,4,0,No,Yes,0,5,6,21,0,0,Successful climb,No,Speaker,Right next to speaker,
58,186193,0,0,1,No,Yes,0,1,0,0,119,0,Failed climb,No,Defense,Can't shoot,
63,186193,0,3,1,No,Yes,0,3,0,18,0,0,Successful climb,No,Speaker,Open field (next to stage),got a note stuck in them for a good portion of the match
68,186193,0,3,1,No,Yes,0,7,0,19,0,0,Failed climb,No,Speaker,Right next to speaker,
1,189427,0,0,0,No,No,0,0,0,0,128,0,Somewhere else,No,Defense,Can't shoot,
9,189427,0,0,1,No,Yes,1,2,4,20,0,0,Parked,No,Speaker,Right next to speaker,They initially tried to score in amp and after they failed like 3 times they switched to targeting the speaker.
15,189427,0,0,0,No,No,0,3,2,20,0,0,Parked,No,Speaker,Right next to speaker,didnt have auto this match
29,189427,0,1,0,No,No,0,2,1,0,32,106,Parked,No,Speaker,Right next to speaker,Note stuck on robot
36,189427,0,0,1,No,Yes,0,2,3,40,0,0,Parked,No,Speaker,Right next to speaker,
42,189427,0,0,1,No,No,0,0,0,0,121,0,Parked,No,Defense,Can't shoot,
50,189427,0,1,0,No,No,0,2,3,50,0,0,Somewhere else,No,Speaker,Right next to speaker,
55,189427,0,0,1,No,Yes,0,0,0,0,135,0,Somewhere else,No,Defense,Can't shoot,
63,189427,0,0,1,No,Yes,0,6,1,19,0,0,Parked,No,Speaker,Right next to speaker,
5,190099,0,0,0,Yes,Yes,0,1,4,17,33,0,Somewhere else,No,Equal amounts offensive and defensive,Right next to speaker,
15,190099,0,0,1,No,No,0,1,4,15,10,50,Somewhere else,No,Speaker,Right next to speaker,
21,190099,0,0,1,No,No,0,1,3,39,0,0,Parked,No,Speaker,Right next to speaker,took like 3 eons to shoot
26,190099,0,0,0,No,Yes,0,4,1,0,66,0,Parked,No,Defense,Right next to speaker,Efficient defense king
32,190099,0,0,0,No,No,0,0,0,60,0,135,Somewhere else,No,Defense,Can't shoot,
32,190099,0,0,0,No,No,0,1,1,0,52,0,Parked,No,Defense,Right next to speaker,
39,190099,0,1,0,No,No,0,3,0,20,50,30,Somewhere else,No,Defense,Right next to speaker,"Left the half only once, died"
44,190099,0,1,0,No,Yes,0,1,0,40,0,120,Parked,No,Speaker,Right next to speaker,"Slower than my grandpa, and waddles like him too. No clue what's going on"
51,190099,0,1,0,No,No,0,3,0,20,0,0,Parked,No,Speaker,Right next to speaker,Didn't do anything in second half of match
71,190099,0,0,0,No,Yes,0,1,0,0,135,0,Parked,No,Defense,Right next to speaker,can't tell if their driver is that bad or they were trying to play defense (they kinda sucked at defense too)
1,191632,0,0,0,No,Yes,3,0,1,25,15,0,Parked,No,Amp,Amp,
8,191632,0,0,0,No,Yes,1,0,0,30,47,50,Somewhere else,No,Amp,Can't shoot,
19,191632,0,0,0,No,Yes,3,0,0,32,0,0,Failed climb,No,Amp,Amp,
39,191632,0,0,0,No,Yes,0,0,0,0,135,0,Failed climb,No,Defense,Can't shoot,"defense but not v good, really slow"
46,191632,0,0,0,No,Yes,0,0,0,0,108,0,Parked,No,Amp,Can't shoot,"note got stuck in arm, only defended"
54,191632,0,0,0,No,Yes,5,0,0,11,0,0,Somewhere else,No,Amp,Can't shoot,
61,191632,0,0,0,No,Yes,2,0,1,25,0,0,Parked,No,Amp,Can't shoot,Acoustic
70,191632,0,0,0,No,No,1,0,0,15,0,0,,No,Amp,Amp,"was pretty much unable to outtake into amp, struggles with the same note for half the match"
14,191695,0,0,0,No,Yes,0,0,0,0,0,0,,,,,good robot but driving eas a little uncertain
14,191695,0,4,0,No,Yes,0,6,0,14,0,0,Parked,No,Speaker,Right next to speaker,good tobot but driving was a little uncertain
19,191695,0,2,2,No,Yes,0,3,2,24,0,0,Successful climb,No,Speaker,Right next to speaker,"Crashed into many field elements, paused on field several times"
28,191695,0,2,1,No,Yes,0,1,0,40,46,0,Failed climb,No,Defense,Right next to speaker,
33,191695,0,1,0,No,No,0,5,1,16,32,0,Parked,No,Speaker,Open field (next to stage),
38,191695,0,1,1,No,Yes,0,4,0,37,0,20,Successful climb,No,Speaker,Right next to speaker,
50,191695,0,3,0,No,Yes,0,4,1,15,0,47,Successful climb,No,Speaker,Right next to speaker,Shooter broke at the end 😭😭😭
56,191695,0,3,1,No,Yes,0,2,5,20,0,0,Failed climb,No,Speaker,Open field (next to stage),
62,191695,0,3,0,No,Yes,0,7,1,25,0,0,Somewhere else,No,Speaker,Right next to speaker,can shoot from further but missed that shot
9,192304,0,0,0,No,No,0,0,0,0,120,0,Parked,No,Defense,Can't shoot,
20,192304,0,1,0,No,No,0,2,1,25,48,0,Parked,No,Speaker,Right next to speaker,
26,192304,0,1,0,No,No,0,1,4,29,0,0,Somewhere else,No,Speaker,Right next to speaker,Robot shot note into audience (onto persons head 🔥🔥🔥🔥)
36,192304,0,0,1,No,No,0,0,0,0,90,15,Parked,No,Defense,Can't shoot,"pushed notes toward speaker, then defended, died, then came back and defended more"
49,192304,0,0,0,No,No,0,0,2,19,0,0,Parked,No,Speaker,Right next to speaker,"Sucks at aiming, shoots too high and too close"
54,192304,0,0,1,No,Yes,0,2,0,0,0,55,Parked,No,Speaker,Right next to speaker,
59,192304,0,0,0,No,Yes,0,0,0,0,135,0,Parked,No,Defense,Can't shoot,tall for no reason. played defense next to the opposite speaker and stopped absolutely noone
59,192304,0,0,0,No,No,0,0,0,0,0,114,Parked,No,Defense,Can't shoot,
69,192304,0,1,0,No,No,0,0,0,0,112,0,Parked,No,Defense,Right next to speaker,
6,201565,0,0,0,No,No,4,0,0,25,0,0,Successful climb,No,Amp,Can't shoot,
12,201565,0,1,1,No,Yes,3,0,0,19,0,0,Somewhere else,No,Amp,Amp,Robot faced a lot of defense from other alliance
18,201565,0,0,0,No,Yes,5,0,0,29,0,0,Somewhere else,No,Amp,Amp,
24,201565,0,0,0,No,No,6,0,0,25,0,0,Parked,No,Amp,Can't shoot,Pretty good amp robot
31,201565,0,0,0,No,Yes,1,0,1,0,0,0,Somewhere else,No,Amp,Amp,
42,201565,0,1,0,No,Yes,4,0,0,26,0,0,Successful climb,No,Offense (both places),Amp,
42,201565,0,1,0,No,Yes,3,0,0,24,0,0,Successful climb,No,Amp,Can't shoot,I think cycle time is usually lower but was high bc robot faced a lot of defense.
50,201565,0,0,0,No,No,2,0,1,18,0,0,Failed climb,No,Offense (both places),Can't shoot,
58,201565,0,0,0,No,No,1,3,0,25,0,0,Successful climb,No,Offense (both places),Right next to speaker,
64,201565,0,0,0,No,Yes,3,0,1,21,0,0,Somewhere else,No,Amp,Amp,
69,201565,0,0,0,No,No,0,1,2,28,0,0,Somewhere else,No,Speaker,Open field (next to stage),heavily defended
